number,title,body,title_length,body_length,created_at,merged_at,updated_at,closed_at,state,merged,comments,commits,additions,deletions,changed_files,lines_added,lines_deleted,files_added,files_deleted,files_updated,files_modified,directory_num,file_type,language_num,segs_added,segs_deleted,segs_updated,file_developer,change_num,k_coreness,experience,repo
149,Set up Travis to upload binary for every release,"- Add deploy script
- Set deployment option on `.travis.yml`

fix #76

Example of it in action
https://github.com/matematikaadit/fd/releases/tag/v5.0.0-rc2

It will upload:
- fd-VERSION-i686-unknown-linux-gnu.tar.gz
- fd-VERSION-i686-unknown-linux-musl.tar.gz
- fd-VERSION-x86_64-apple-darwin.tar.gz
- fd-VERSION-x86_64-unknown-linux-gnu.tar.gz
- fd-VERSION-x86_64-unknown-linux-musl.tar.gz

With the content of the archive:
- fd-VERSION-TARGET/
- fd-VERSION-TARGET/LICENSE-APACHE
- fd-VERSION-TARGET/LICENSE-MIT
- fd-VERSION-TARGET/README.md
- fd-VERSION-TARGET/autocomplete
- fd-VERSION-TARGET/autocomplete/_fd
- fd-VERSION-TARGET/autocomplete/fd.bash-completion
- fd-VERSION-TARGET/autocomplete/fd.fish
- fd-VERSION-TARGET/fd
- fd-VERSION-TARGET/fd.1
",48,780,2017-10-23 11:49:13+00:00,2017-10-25 16:27:14+00:00,2017-10-26 02:39:17+00:00,2017-10-25 16:27:14+00:00,closed,True,2,1,79,0,2,79,0,1,0,1,1,1,2,2,0,0,0,0,2,0,0,sharkdp/fd
150,Fix --type: skip if file type is unknown,,40,0,2017-10-23 15:56:05+00:00,2017-10-25 16:29:41+00:00,2017-10-25 16:29:41+00:00,2017-10-25 16:29:41+00:00,closed,True,1,1,3,3,1,3,3,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
151,Typo fix: Change 'descent' to 'descend',"The correct word is 'descend'

Change-Id: I6833bd28e84841799f3f060239a36876949d890e",39,85,2017-10-24 21:32:23+00:00,2017-10-25 16:18:34+00:00,2017-10-25 16:18:40+00:00,2017-10-25 16:18:34+00:00,closed,True,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
152,Workaround for the `unsafe` block.,See #147,34,8,2017-10-25 19:34:51+00:00,2017-10-25 20:45:01+00:00,2017-10-25 20:45:08+00:00,2017-10-25 20:45:02+00:00,closed,True,0,1,6,4,1,6,4,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
158,Fix exec Escaping (#155),"This should fix the issues outlined in #155.

Closes #155 
",24,62,2017-10-31 14:19:12+00:00,,2017-11-03 13:04:34+00:00,2017-11-03 13:04:34+00:00,closed,False,1,2,60,36,7,60,36,1,0,6,6,2,3,3,0,0,0,0,7,0,0,sharkdp/fd
160,Remove shell with --exec,This is a WIP/PoC for removing the intermediary shell when calling a command with `--exec`. See #155 for the discussion.,24,120,2017-11-03 00:42:17+00:00,2017-11-15 22:18:37+00:00,2017-11-15 23:14:23+00:00,2017-11-15 22:18:37+00:00,closed,True,18,8,329,448,13,329,448,1,1,11,11,4,5,5,0,0,0,0,13,0,0,sharkdp/fd
163,Remove superfluous path.replace,See comment by @Doxterpepper in #153,31,36,2017-11-10 19:04:55+00:00,2017-11-11 07:58:56+00:00,2017-11-11 07:58:57+00:00,2017-11-11 07:58:56+00:00,closed,True,0,1,1,6,1,1,6,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
169,Create shell completions OUT_DIR,Right now it panics with OUT_DIR is not exist prior compilation. Which is not nice. ,32,84,2017-11-15 02:40:52+00:00,2017-11-15 18:54:27+00:00,2017-11-15 21:31:41+00:00,2017-11-15 18:54:27+00:00,closed,True,3,1,2,0,1,2,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
172,Add instructions on how to install under Void Linux,,51,0,2017-11-16 15:51:53+00:00,2017-11-18 10:15:33+00:00,2017-11-18 10:15:41+00:00,2017-11-18 10:15:33+00:00,closed,True,1,1,7,0,1,7,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
171,Add instructions on how to install under FreeBSD,As of this morning 5.0.0 is in ports tree.,48,42,2017-11-15 20:31:26+00:00,2017-11-15 20:54:35+00:00,2017-11-15 21:31:13+00:00,2017-11-15 20:54:35+00:00,closed,True,1,1,5,0,1,5,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,sharkdp/fd
173,"bump ignore to 0.3, ansi_term to 0.10",,37,0,2017-11-20 17:14:46+00:00,,2018-03-13 06:45:35+00:00,2017-11-22 22:08:10+00:00,closed,False,4,2,33,19,2,33,19,0,0,2,2,0,2,2,0,0,0,0,2,0,0,sharkdp/fd
167,Check minimal rustc version on the build process,"using [version_check](https://github.com/SergioBenitez/version_check) to check rustc >= 1.19
 
fix  #164 ",48,107,2017-11-13 16:08:41+00:00,2017-11-13 18:27:52+00:00,2017-11-13 18:29:25+00:00,2017-11-13 18:27:52+00:00,closed,True,1,1,21,0,3,21,0,0,0,3,3,0,3,3,0,0,0,0,3,0,0,sharkdp/fd
175,Add --no-ignore-vcs option,"When passed, .gitignore files will not be respected.",26,52,2017-11-21 21:58:12+00:00,2017-11-22 22:18:23+00:00,2017-11-22 22:18:32+00:00,2017-11-22 22:18:23+00:00,closed,True,2,1,46,8,7,46,8,0,0,7,7,4,2,2,0,0,0,0,7,0,0,sharkdp/fd
176,Cygwin forward slashes,"#153 
@sharkdp, I was messing around with this and figured I'd go ahead and open a PR, hope you don't mind. This change adds a check for if the HOME environment variable is present at run time on windows builds. The HOME environment variable is not available in cmd so it servers as a way to differentiate between the two environments and print the appropriate slashes accordingly.",22,382,2017-11-22 05:21:46+00:00,,2017-11-27 01:37:48+00:00,2017-11-27 01:37:48+00:00,closed,False,1,5,45,2,1,45,2,0,0,1,1,1,1,1,0,0,0,0,1,0,0,sharkdp/fd
